name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,window
signal_lag = 2,2695,10.69,-0.01735753579754684,0.1726263883960483,-0.1349385488676687,0.28451039600305417,-0.42000281297619146,-0.0975645645202451,-0.5664167520179453,-0.03064446052435419,-16.990189421139107,559.8777862717096,-0.012063676179687156,-0.0253849885278188,-0.026821104018763593,-0.05703953439897912,-0.3797305873791319,-0.41286776067109154,0.0475129540208167,0.6463821892393321,2184,oos
cost 0 tick(s),4711,18.69,0.08688746966717287,0.1366995101576678,0.5739603509532085,0.23951291178105888,2.5593078397689086,0.5393245903229157,-0.20760028485030202,0.4185325166091479,-1.8512816882824197,15.64734244990057,-0.01373671222210611,-0.02351028029291529,-0.02772769779078049,-0.0414412454689246,-0.11648506529254246,-0.1324423846609436,0.04760466288735487,0.6962428359159414,1392,full (not a headline)
cost 0 tick(s),2016,8.0,0.10258812955099428,0.15048814487111103,0.7085050419798126,0.3615008590490748,2.0354917385866615,0.7612533496473474,-0.20760028485030202,0.4941617957074062,-0.9435638509113122,4.830886935590179,-0.016102642025706805,-0.025092216619350058,-0.029966815901608924,-0.03911604616400453,-0.06713072690253845,-0.08352547942690425,0.037564306122175324,0.6775793650793651,378,design
cost 0 tick(s),2695,10.69,0.07528891290133077,0.12542111330581845,0.45762427715417203,0.31962657477277445,1.5661076114976726,0.38648719319847774,-0.1918531620159314,0.3924298776742539,-2.9812815527469416,30.88090661126691,-0.011914348886886032,-0.021836812274687405,-0.024924220929406094,-0.04240418584700197,-0.11648506529254246,-0.1324423846609436,0.04760466288735487,0.710204081632653,1392,oos
cost 1 tick(s),4711,18.69,0.04935680784169105,0.1366685651963664,0.316844514415557,0.23572553172168104,1.4107153435673236,0.3088728015487897,-0.26767483692461536,0.1843909140237612,-1.8622893409544568,15.689441427715657,-0.013871965560097621,-0.02367821365081466,-0.0279199917668032,-0.04159729336364632,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6346847803014222,1998,full (not a headline)
cost 1 tick(s),2016,8.0,0.060671220732824604,0.1505149618995078,0.45084349420740566,0.3585296185911031,1.2923714590688675,0.4916436198297366,-0.24759714504281505,0.2450400658793267,-0.950747928832622,4.83506372797308,-0.01629963820744217,-0.02527607594253146,-0.03057310080395959,-0.03932394228376151,-0.0674511034416487,-0.08405653468743968,0.03742084148734857,0.6165674603174603,425,design
cost 1 tick(s),2695,10.69,0.040972021497347466,0.12534022261197725,0.19890868414091858,0.31165824074756143,0.680035153080047,0.17703141981520973,-0.2676748369246198,0.15306639192568422,-2.997438630084059,31.02332393045647,-0.012053563280664722,-0.021980304612866465,-0.02515788213612574,-0.04250700672863924,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6482374768089054,1998,oos
cost 2 tick(s),4711,18.69,0.013106595571318103,0.13671362008418816,0.05957638122202049,0.23209739349068625,0.2645502677951624,0.05846903715789484,-0.44391560787802875,0.02952497127543959,-1.8704147465337633,15.695377922026804,-0.014024573821425825,-0.023850959592215264,-0.028139106114821996,-0.04175403970555543,-0.11697078019419144,-0.13852110697433118,0.047374461270029,0.6287412438972617,3501,full (not a headline)
cost 2 tick(s),2016,8.0,0.020329796792798227,0.15061954884190956,0.19317070746722276,0.35564793750431917,0.5520191772306147,0.21190971168510164,-0.35962478273409704,0.056530577893542655,-0.9569120194592251,4.8281281884034986,-0.016500192759001338,-0.025465293041979364,-0.030662062993210025,-0.03953183840351849,-0.06777147998075897,-0.08574994115329793,0.037277376852521804,0.6121031746031746,806,design
cost 2 tick(s),2695,10.69,0.007736718717431756,0.12533378145501936,-0.06010026596433484,0.304064573801018,-0.20503045619260096,-0.053899343474169914,-0.33640333431296465,0.022998341360772865,-3.0081733793871797,31.09054641194195,-0.01217518892802236,-0.022126604135818965,-0.02525517261422106,-0.042615567119057,-0.11697078019419144,-0.13852110697433118,0.047374461270029,0.6411873840445269,2184,oos
cost 4 tick(s),4711,18.69,-0.05572371329312553,0.13703130309718942,-0.45370428185004674,0.22543755472175883,-1.9971561926316233,-0.45110090264212377,-0.7747872147375462,-0.07192131237219958,-1.879001445976745,15.60011690114996,-0.014305533428946717,-0.02420861542000632,-0.028405523850184085,-0.04206943702081641,-0.11745649509584041,-0.14457389023000677,0.047144259652703135,0.6183400551899809,3501,full (not a headline)
cost 4 tick(s),2016,8.0,-0.055858648187931514,0.15106126623130597,-0.32061819339401015,0.35021078550560514,-0.9082544921377983,-0.3560244411984302,-0.5494064642663532,-0.10167089727006041,-0.9670808788105533,4.782675727185294,-0.017226739708772046,-0.02585265173186986,-0.0308399873717109,-0.039947630643032465,-0.06841223305897949,-0.08923240995764847,0.03699044758286829,0.6006944444444444,806,design
cost 4 tick(s),2695,10.69,-0.05562276237373476,0.12554416113917855,-0.5771531235653615,0.29034900863872554,-1.9539110064304186,-0.5247268992332879,-0.5671275593369043,-0.09807804515578451,-3.0143782189484796,30.998249672472554,-0.012487610491271572,-0.02244162156457505,-0.025835970839289277,-0.04285315378992999,-0.11745649509584041,-0.14457389023000677,0.047144259652703135,0.6315398886827458,2413,oos
no roll cost charged,4711,18.69,0.06368004021347184,0.13670097727104227,0.4160014972086043,0.237137648714805,1.8479491568782995,0.40569086770046053,-0.2385400331322982,0.2669574552215889,-1.8483449147565925,15.622915717180874,-0.013832939175312803,-0.023600829786642567,-0.02784552909797255,-0.04151550121082972,-0.11652714792702319,-0.13458952335586782,0.047591523547778326,0.6387178942899596,1620,full (not a headline)
no roll cost charged,2016,8.0,0.07633978590349311,0.15055302485933497,0.5481841913200182,0.35959213694437364,1.5688296505070196,0.5984786033229076,-0.22987382408727264,0.3320942965411771,-0.9399618282075475,4.816853470445657,-0.016204725800638017,-0.02519180447857827,-0.03049953723022645,-0.03923626156478944,-0.06728899081141816,-0.08382359351050972,0.03753441641471986,0.6200396825396826,408,design
no roll cost charged,2695,10.69,0.05430734395279524,0.12536721597183836,0.3004772490230406,0.31471195412968783,1.0251956257472445,0.2673591292702494,-0.23854003313229788,0.22766553370383566,-2.980480662409071,30.886896417710837,-0.011981790677112114,-0.021907254535341963,-0.02495844849575837,-0.042437643023155704,-0.11652714792702319,-0.13458952335586782,0.047591523547778326,0.6526901669758812,1620,oos
no drift turnover charged,4711,18.69,0.05222703798178263,0.13667996600375196,0.3368195618632657,0.23600932784330314,1.5018436329232911,0.328351949295155,-0.2584010843348531,0.2021161719046945,-1.8595314888916163,15.67219852231899,-0.013865322936787777,-0.023664236799758927,-0.02786608250525438,-0.04158041702258892,-0.11668584010888622,-0.13468972280821123,0.0475010669081194,0.6348970494587136,1924,full (not a headline)
no drift turnover charged,2016,8.0,0.06322028886284836,0.15051940363075408,0.46678375814310263,0.35870211037049854,1.3397749415065519,0.5091696486276688,-0.24454839866294475,0.25851851497904665,-0.9486612158897942,4.827630879438002,-0.016323408116451617,-0.02526055897877953,-0.030588200780340826,-0.03930403896727704,-0.06738914979060152,-0.08392150448332147,0.03744648636891086,0.6170634920634921,419,design
no drift turnover charged,2695,10.69,0.04407789646515581,0.12535813855046563,0.22267551622831788,0.3123693653519761,0.762635463714585,0.19816934109343504,-0.25840108433485187,0.17057937886993146,-2.993382268880025,30.987446105448065,-0.01204330529936245,-0.021967457056804248,-0.025125240052876342,-0.04249304428623728,-0.11668584010888622,-0.13468972280821123,0.0475010669081194,0.6482374768089054,1924,oos
