fit,q,state,design,simple_threshold,log_threshold,p_daily,p_annual,return_period_years,sigma_daily,headline_threshold
full,0.95,unconditional,-1x,0.8,0.5877866649021191,0.0001645946641386513,0.04063269516188295,24.109250375888184,0.04175951061801517,False
full,0.95,unconditional,-0.5x,1.6,0.9555114450274363,2.9569090314470466e-05,0.007423827174628528,134.20277479121472,0.04175951061801517,False
full,0.95,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,3.767072540766695e-06,0.0009488536217711063,1053.405243809382,0.026667562347929025,False
full,0.95,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,3.786075792054311e-07,9.540457670775826e-05,10481.179422192201,0.026667562347929025,False
full,0.96,unconditional,-1x,0.8,0.5877866649021191,0.00015133457759347214,0.0374210589578009,26.221726926901205,0.04175951061801517,False
full,0.96,unconditional,-0.5x,1.6,0.9555114450274363,2.5762923438180013e-05,0.006471310631357197,154.02964565632774,0.04175951061801517,False
full,0.96,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,1.3429541594605805e-06,0.00033836741625070665,2954.869263629879,0.026667562347929025,False
full,0.96,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,7.5322970434808e-08,1.898120911436596e-05,52683.18476219005,0.026667562347929025,False
full,0.97,unconditional,-1x,0.8,0.5877866649021191,0.00015557914469098395,0.03845027054827177,25.50633618751302,0.04175951061801517,False
full,0.97,unconditional,-0.5x,1.6,0.9555114450274363,2.6854928858080425e-05,0.006744684763382636,147.76631840005615,0.04175951061801517,False
full,0.97,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,1.981652184810412e-06,0.0004992521774990211,2002.4977131058029,0.026667562347929025,False
full,0.97,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,1.4029907804790876e-07,3.53547451479308e-05,28284.248360483918,0.026667562347929025,False
full,0.975,unconditional,-1x,0.8,0.5877866649021191,0.0001641663845435611,0.04052913143438652,24.17214693060992,0.04175951061801517,False
full,0.975,unconditional,-0.5x,1.6,0.9555114450274363,2.9605234525920747e-05,0.007432868123472214,134.0389303377948,0.04175951061801517,False
full,0.975,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,3.999228965064367e-06,0.001007300046797277,992.2547578343266,0.026667562347929025,False
full,0.975,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,4.281638095275274e-07,0.00010789148239276347,9268.07422755529,0.026667562347929025,False
full,0.98,unconditional,-1x,0.8,0.5877866649021191,0.00016526775661568558,0.040795435415239334,24.01105968589968,0.04175951061801517,False
full,0.98,unconditional,-0.5x,1.6,0.9555114450274363,3.0043332947386485e-05,0.007542445550335675,132.08434547536353,0.04175951061801517,False
full,0.98,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,4.343887965731915e-06,0.001094063220875685,913.525855077007,0.026667562347929025,False
full,0.98,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,4.856814362269124e-07,0.00012238426207411557,8170.4872211751235,0.026667562347929025,False
full,0.99,unconditional,-1x,0.8,0.5877866649021191,0.0001580877669350834,0.03905803932915353,25.101587840654854,0.04175951061801517,False
full,0.99,unconditional,-0.5x,1.6,0.9555114450274363,2.7338479628768188e-05,0.006865713590772926,145.15269401002783,0.04175951061801517,False
full,0.99,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,2.129322203865434e-06,0.000536445828124843,1863.623063268798,0.026667562347929025,False
full,0.99,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,1.495163407607618e-07,3.7677410875014417e-05,26540.603843452096,0.026667562347929025,False
