dynamics,day,years,survival_-1x,se_-1x,survival_-0.5x,se_-0.5x
capped at in-sample max sigma,796,3.1587301587301586,0.93595,0.0017312942774121338,0.9912,0.0006603998788612863
capped at in-sample max sigma,797,3.1626984126984126,0.9359,0.0017319236415038633,0.99115,0.0006622566534207121
capped at in-sample max sigma,798,3.1666666666666665,0.93585,0.0017325527048260327,0.9911,0.0006641080484379036
capped at in-sample max sigma,799,3.1706349206349205,0.9358,0.0017331814677061376,0.9911,0.0006641080484379036
capped at in-sample max sigma,800,3.1746031746031744,0.93565,0.001735065956959562,0.9911,0.0006641080484379036
capped at in-sample max sigma,801,3.1785714285714284,0.93555,0.0017363207868939428,0.9911,0.0006641080484379036
capped at in-sample max sigma,802,3.1825396825396823,0.9355,0.0017369477539638319,0.9911,0.0006641080484379036
capped at in-sample max sigma,803,3.1865079365079363,0.9355,0.0017369477539638319,0.9911,0.0006641080484379036
capped at in-sample max sigma,804,3.1904761904761907,0.9353,0.001739452643793443,0.99105,0.0006659541087792767
capped at in-sample max sigma,805,3.1944444444444446,0.9353,0.001739452643793443,0.99105,0.0006659541087792767
capped at in-sample max sigma,806,3.1984126984126986,0.93515,0.0017413281927884812,0.99105,0.0006659541087792767
capped at in-sample max sigma,807,3.2023809523809526,0.935,0.001743201078476031,0.99105,0.0006659541087792767
capped at in-sample max sigma,808,3.2063492063492065,0.93485,0.0017450713094312226,0.99105,0.0006659541087792767
capped at in-sample max sigma,809,3.2103174603174605,0.93475,0.0017463166594292117,0.991,0.0006677948786865623
capped at in-sample max sigma,810,3.2142857142857144,0.9347,0.001746938894180332,0.991,0.0006677948786865623
capped at in-sample max sigma,811,3.2182539682539684,0.9347,0.001746938894180332,0.991,0.0006677948786865623
capped at in-sample max sigma,812,3.2222222222222223,0.9347,0.001746938894180332,0.991,0.0006677948786865623
capped at in-sample max sigma,813,3.2261904761904763,0.9346,0.0017481824847538087,0.991,0.0006677948786865623
capped at in-sample max sigma,814,3.2301587301587302,0.93455,0.0017488038412011794,0.991,0.0006677948786865623
capped at in-sample max sigma,815,3.234126984126984,0.9344,0.001750666158923511,0.991,0.0006677948786865623
capped at in-sample max sigma,816,3.238095238095238,0.9343,0.0017519062474915714,0.99095,0.0006696304017889273
capped at in-sample max sigma,817,3.242063492063492,0.9341,0.001754382939953532,0.99095,0.0006696304017889273
capped at in-sample max sigma,818,3.246031746031746,0.9339,0.0017568550025542809,0.99095,0.0006696304017889273
