name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested,feb_2018,kind
OOS excluding yen_carry_2024,2678,10.63,0.04117308677101761,0.1255276677653691,0.20163158240040185,0.3127330912746875,0.6858290754102437,0.1795383502807359,-0.2676748369246198,0.15381754685672006,-2.9997488604285003,31.024596360324132,-0.012049679357685727,-0.022009185762352532,-0.025166404366323628,-0.04250700672863924,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6478715459297983,1981,,,,,,leave one stress window out
2016 alone,252,1.0,0.10364254319903443,0.17305548527717954,0.639330720025019,1.0475256938592405,0.6399284307312753,0.5787164012238585,-0.12730076490605857,0.8141549131736743,-2.234416174927554,15.95023145712274,-0.01473412615995807,-0.029437517221612333,-0.039288757794264925,-0.06177829587269529,-0.07875439295966148,-0.09933617134863426,0.047489562078691934,0.6468253968253969,80,,,,,,single year
2017 alone,251,1.0,0.2556447545689515,0.19929337203061606,1.198378048308034,1.1572299352754059,1.205878618050398,1.0993669958266852,-0.14460161773602342,1.7679245818372669,-3.755982262085972,33.21937273507206,-0.013869355824416247,-0.03186527336751276,-0.02580206679393845,-0.06931214112054424,-0.11672792274336695,-0.1354849927719397,0.03553867813063943,0.5816733067729084,86,,,,,,single year
2018 alone,252,1.0,-0.10851152549960252,0.12201077645962335,-1.0408960867167143,0.9066149025049755,-0.9893347607631222,-0.7684343738551336,-0.17523175077842812,-0.6192457988781381,-3.030153525211304,17.30756266599291,-0.01180829256763317,-0.024273541668534755,-0.03215529946386183,-0.04625726623468666,-0.05550761914643764,-0.09119107789471614,0.02586115693214521,0.7261904761904762,244,,,,,,single year
2019 alone,252,1.0,0.04896523530175867,0.0942938115473124,0.33200233835581283,1.0193023586002474,0.3190143211267493,0.3148774902891019,-0.10309319729790523,0.4749608760339961,-1.8045968298766297,8.876387286365519,-0.011092136165732019,-0.016853437841248882,-0.019065498802860653,-0.02827932049678664,-0.03915333426265322,-0.07007325489851435,0.015001686447986232,0.6706349206349206,111,,,,,,single year
2020 alone,253,1.0,-0.11629345813845882,0.10801177794127699,-1.122907111905434,0.84515925663221,-1.0627025466068152,-0.7472481626444047,-0.1581868588097447,-0.7351651016620027,-4.692258049328318,37.16069037992175,-0.00894050151610156,-0.02127106212524367,-0.02531797118498106,-0.04251560145966187,-0.06590954986794256,-0.0775055111849331,0.010496131975961255,0.7391304347826086,241,,,,,,single year
2021 alone,252,1.0,0.0843349913422049,0.14270199441195133,0.6362309636467027,1.0449492127629227,0.758689563382121,0.6311553199334244,-0.08249855110422533,1.022260272615691,-2.172237361271858,10.099288096093462,-0.01340466353366228,-0.026214480217846885,-0.03385571745025479,-0.04615434572393735,-0.057696908444755446,-0.0634724777805935,0.021773939493781216,0.5833333333333334,40,,,,,,single year
2022 alone,251,1.0,-0.08185274179296509,0.10339057316876658,-0.9714314929947108,0.9542695041466592,-1.0121771108091382,-0.8505892141611926,-0.15215900732971677,-0.5379421384867249,-1.6270615577048688,4.5522751628860245,-0.015833305464936605,-0.02046759986669265,-0.023548278769333894,-0.02781304771926967,-0.028846263839525887,-0.05620230787445479,0.015005134123098314,0.6653386454183267,249,,,,,,single year
2023 alone,250,0.99,0.15078314492120648,0.10158355335527551,0.9250053842355553,1.0347120968811192,0.8734799778522786,1.0473651485592965,-0.07863709625571014,1.917455655164245,-1.0163181017923193,1.9092471053052424,-0.01106989928824309,-0.01706318732352171,-0.019305554482111555,-0.021355532545086695,-0.0224605760042635,-0.05948898225356536,0.016028877842352605,0.584,71,,,,,,single year
2024 alone,252,1.0,0.038166336791607414,0.08449459857708747,-0.12000763842643995,0.9935893717200667,-0.12395926282635611,-0.10853631284471889,-0.0465676424420558,0.8195891994982966,-1.7162464184725912,11.49870262778325,-0.00759614927038331,-0.014572212306017525,-0.017935994499134182,-0.026972016156452446,-0.034424754653782114,-0.044056422342822255,0.02086859317668701,0.6865079365079365,82,,,,,,single year
2025 alone,251,1.0,0.0726962515121008,0.09432301621542472,0.3507389471763987,1.0084137538621547,0.41236505453999206,0.37247299782912807,-0.06480144555501477,1.1218307074706155,-0.5336381748183823,3.971556664829351,-0.011704025840496513,-0.016238700703602952,-0.01759769198234489,-0.021451587306856923,-0.026627462710625566,-0.04186542008220562,0.021584221879682657,0.6374501992031872,137,,,,,,single year
2026 alone,179,0.71,0.07695724419693506,0.09100301530050663,0.44898357373679343,1.1955631386599768,0.47136600416326363,0.5410919924427059,-0.06653353008557139,1.1566685864699697,-0.5015973622927528,2.54695076090826,-0.011071160102123424,-0.014510827165052538,-0.01505934574787071,-0.01937779121495775,-0.023585463093196354,-0.03436397558248361,0.020189592112674896,0.5921787709497207,106,,,,,,single year
