date,realised_vol,move_quantile,floor,w_vol_target,w_stress_budget,stress_move,weight,binding,stress_source
2008-07-09,0.5314333359876247,0.22993506748904308,0.1104268580368008,0.28225553393491487,0.8698107782516925,0.22993506748904308,0.0,signal_off,model
2008-07-10,0.5314790605303876,0.211554241556367,0.1104268580368008,0.2822312507482572,0.9453840231641564,0.211554241556367,0.0,signal_off,model
2008-07-11,0.5276037057251808,0.20577636417873538,0.1104268580368008,0.28430429576651284,0.9719289229266483,0.20577636417873538,0.0,signal_off,model
2008-07-14,0.5294492288386266,0.2040687284270929,0.1104268580368008,0.28331328450327997,0.9800619700115076,0.2040687284270929,0.0,signal_off,model
2008-07-15,0.5038435322504612,0.19079321135940708,0.1104268580368008,0.29771147270663945,1.0482553261460106,0.19079321135940708,0.0,signal_off,model
2008-07-16,0.5426015677427815,0.18545971426936772,0.1104268580368008,0.276445939188858,1.0784013163608863,0.18545971426936772,0.0,signal_off,model
2008-07-17,0.548830379106577,0.1734535501142419,0.1104268580368008,0.2733084860283793,1.1530464488520056,0.1734535501142419,0.0,signal_off,model
2008-07-18,0.543043228405389,0.16263842141336957,0.1104268580368008,0.2762211038713533,1.22972172419007,0.16263842141336957,0.0,signal_off,model
2008-07-21,0.5476365650489443,0.1553951024114846,0.1104268580368008,0.2739042817321629,1.2870418494297338,0.1553951024114846,0.0,signal_off,model
2008-07-22,0.5595383309430795,0.1521621277123271,0.1104268580368008,0.2680781489039026,1.3143875089477828,0.1521621277123271,0.2680781489039026,vol_target,model
2008-07-23,0.5595409710678328,0.14490333983325865,0.1104268580368008,0.2680768840103678,1.380230436580285,0.14490333983325865,0.2680768840103678,vol_target,model
2008-07-24,0.5837095128516141,0.18864650225904073,0.1104268580368008,0.2569771379383563,1.0601839822366237,0.18864650225904073,0.2569771379383563,vol_target,model
2008-07-25,0.5619650431434899,0.17526732137723258,0.1104268580368008,0.26692051726373944,1.1411140332859575,0.17526732137723258,0.26692051726373944,vol_target,model
2008-07-28,0.4909588082188426,0.18597005776997916,0.1104268580368008,0.3055246132444134,1.0754419415590766,0.18597005776997916,0.3055246132444134,vol_target,model
2008-07-29,0.5344300524841957,0.1838532820959196,0.1104268580368008,0.28067283885468963,1.0878239306908666,0.1838532820959196,0.28067283885468963,vol_target,model
2008-07-30,0.5540190984029679,0.17710988679722728,0.1104268580368008,0.2707487890442667,1.1292424359628188,0.17710988679722728,0.2707487890442667,vol_target,model
2008-07-31,0.5814226131525172,0.2103150286600412,0.1104268580368008,0.2579879017547816,0.9509543910116158,0.2103150286600412,0.2579879017547816,vol_target,model
2008-08-01,0.550257132060952,0.19491835997097096,0.1104268580368008,0.2725998288076428,1.0260706073547194,0.19491835997097096,0.2725998288076428,vol_target,model
2008-08-04,0.5499318104685128,0.18054027211928497,0.1104268580368008,0.2727610899107799,1.1077860781546722,0.18054027211928497,0.2727610899107799,vol_target,model
2008-08-05,0.5692466308920688,0.1751907719698276,0.1104268580368008,0.26350617089280676,1.1416126417574393,0.1751907719698276,0.26350617089280676,vol_target,model
2008-08-06,0.5439901483809868,0.16622337503339463,0.1104268580368008,0.2757402876622438,1.203200211521512,0.16622337503339463,0.2757402876622438,vol_target,model
2008-08-07,0.5311477433845883,0.19371092695910455,0.1104268580368008,0.28240729979227164,1.0324662792111008,0.19371092695910455,0.28240729979227164,vol_target,model
2008-08-08,0.5358315436700232,0.18163686429216822,0.1104268580368008,0.27993872658675223,1.1010980660748149,0.18163686429216822,0.27993872658675223,vol_target,model
2008-08-11,0.525815845403965,0.16982781749205317,0.1104268580368008,0.2852709771132144,1.1776633707805773,0.16982781749205317,0.2852709771132144,vol_target,model
2008-08-12,0.5379604570678935,0.1917415949885588,0.1104268580368008,0.27883090295811314,1.0430704929305192,0.1917415949885588,0.27883090295811314,vol_target,model
2008-08-13,0.5427515055228843,0.1864676253237529,0.1104268580368008,0.27636956963480125,1.0725722476100161,0.1864676253237529,0.27636956963480125,vol_target,model
2008-08-14,0.5253324106251873,0.1765854284538299,0.1104268580368008,0.2855334964417826,1.1325962835732626,0.1765854284538299,0.2855334964417826,vol_target,model
2008-08-15,0.5237749792324767,0.16547954369726048,0.1104268580368008,0.28638252292960853,1.2086086021961338,0.16547954369726048,0.28638252292960853,vol_target,model
2008-08-18,0.5280377280669754,0.16163579577262943,0.1104268580368008,0.28407061091849534,1.237349678912318,0.16163579577262943,0.28407061091849534,vol_target,model
2008-08-19,0.5366227843672731,0.1761850186780401,0.1104268580368008,0.2795259619415221,1.1351702971152124,0.1761850186780401,0.2795259619415221,vol_target,model
2008-08-20,0.5251273637316961,0.16593632472413342,0.1104268580368008,0.28564498893003726,1.205281606257683,0.16593632472413342,0.28564498893003726,vol_target,model
2008-08-21,0.5262063631122426,0.15649312700182144,0.1104268580368008,0.2850592666968647,1.2780113978914371,0.15649312700182144,0.2850592666968647,vol_target,model
2008-08-22,0.5003640517419514,0.1503495725343937,0.1104268580368008,0.2997817278795205,1.330233246617634,0.1503495725343937,0.2997817278795205,vol_target,model
2008-08-25,0.5288344090727664,0.1864927998030599,0.1104268580368008,0.283642662857364,1.0724274621390422,0.1864927998030599,0.283642662857364,vol_target,model
2008-08-26,0.5144714601991968,0.17363587812688558,0.1104268580368008,0.2915613626884607,1.151835681412851,0.17363587812688558,0.2915613626884607,vol_target,model
2008-08-27,0.47908479235319296,0.16409436977624037,0.1104268580368008,0.3130969765565348,1.2188108603160528,0.16409436977624037,0.3130969765565348,vol_target,model
2008-08-28,0.4616570940214689,0.15644831871378964,0.1104268580368008,0.3249164844264787,1.2783774325238029,0.15644831871378964,0.3249164844264787,vol_target,model
2008-08-29,0.4346349238998825,0.1612570139519676,0.1104268580368008,0.3451172277047674,1.2402561296314993,0.1612570139519676,0.3451172277047674,vol_target,model
2008-09-02,0.43742679053675093,0.15799734078705413,0.1104268580368008,0.34291452477325474,1.265844089550572,0.15799734078705413,0.34291452477325474,vol_target,model
2008-09-03,0.43860643247311865,0.1499938976243616,0.1104268580368008,0.3419922483904593,1.333387578879186,0.1499938976243616,0.3419922483904593,vol_target,model
2008-09-04,0.48291816148313843,0.24158166716606083,0.1104268580368008,0.31061163560160987,0.8278773896469636,0.24158166716606083,0.31061163560160987,vol_target,model
2008-09-05,0.4770867630242341,0.2208184289679535,0.1104268580368008,0.31440822010897124,0.90572150583059,0.2208184289679535,0.31440822010897124,vol_target,model
2008-09-08,0.47026333420124294,0.20501737472769954,0.1104268580368008,0.31897022176900036,0.9755270755253621,0.20501737472769954,0.31897022176900036,vol_target,model
2008-09-09,0.517964029986898,0.2680580517840831,0.1104268580368008,0.28959539913185534,0.7461070416235701,0.2680580517840831,0.0,signal_off,model
2008-09-10,0.5201434953952576,0.24314046837999784,0.1104268580368008,0.28838195868625605,0.8225697734834716,0.24314046837999784,0.0,signal_off,model
2008-09-11,0.5047341268122862,0.22314578385716333,0.1104268580368008,0.2971861660065358,0.8962750563462178,0.22314578385716333,0.0,signal_off,model
2008-09-12,0.5016998018464559,0.20640945632406507,0.1104268580368008,0.2989835743365654,0.9689478552087161,0.20640945632406507,0.0,signal_off,model
2008-09-15,0.5223764936453379,0.25100131673815207,0.1104268580368008,0.28714921483783484,0.7968085689711448,0.25100131673815207,0.0,signal_off,model
2008-09-16,0.5256429830658939,0.22867234238082493,0.1104268580368008,0.285364790993883,0.8746138598034967,0.22867234238082493,0.0,signal_off,model
2008-09-17,0.5543485375761174,0.26208501181287075,0.1104268580368008,0.270587888002507,0.7631111699848003,0.26208501181287075,0.0,signal_off,model
2008-09-18,0.5801786282718484,0.24288178626731835,0.1104268580368008,0.25854106423533413,0.8234458543543394,0.24288178626731835,0.0,signal_off,model
2008-09-19,0.5811986194194312,0.2221812424431699,0.1104268580368008,0.2580873301967535,0.9001659987168203,0.2221812424431699,0.0,signal_off,model
2008-09-22,0.6207044723354447,0.27919438533753693,0.1104268580368008,0.24166089771451837,0.7163467838302211,0.27919438533753693,0.0,signal_off,model
2008-09-23,0.6647708047380101,0.35034532311038546,0.1104268580368008,0.2256416782008287,0.570865334306132,0.35034532311038546,0.0,signal_off,model
2008-09-24,0.6602009478152864,0.3127493263286568,0.1104268580368008,0.2272035514283563,0.6394897867496199,0.3127493263286568,0.0,signal_off,model
2008-09-25,0.671901289994552,0.28232737892312615,0.1104268580368008,0.2232470784528725,0.7083974666674366,0.28232737892312615,0.0,signal_off,model
2008-09-26,0.6632063206542359,0.2666808680794376,0.1104268580368008,0.22617396024215944,0.7499600606535636,0.2666808680794376,0.0,signal_off,model
2008-09-29,0.782463846712353,0.45857473686986805,0.1400097577775225,0.19170214781200304,0.4361339252248319,0.45857473686986805,0.0,signal_off,model
2008-09-30,0.8293436301544775,0.41082374601459076,0.1400097577775225,0.1808659216108771,0.4868267765439655,0.41082374601459076,0.0,signal_off,model
2008-10-01,0.8313026690056754,0.3784178113142973,0.1400097577775225,0.18043969494217507,0.5285163489143716,0.3784178113142973,0.0,signal_off,model
2008-10-02,0.841188849588457,0.38979200686681537,0.1400097577775225,0.17831905412605736,0.5130941540018195,0.38979200686681537,0.0,signal_off,model
2008-10-03,0.8206513467167685,0.36134277714614155,0.1400097577775225,0.18278164119283352,0.5534910690054058,0.36134277714614155,0.0,signal_off,model
2008-10-06,0.8099497418777469,0.34000215759393787,0.1400097577775225,0.1851966760952939,0.588231561279851,0.34000215759393787,0.0,signal_off,model
2008-10-07,0.8237994079250796,0.4099479446515262,0.1400097577775225,0.18208316072696396,0.4878668197007521,0.4099479446515262,0.0,signal_off,model
2008-10-08,0.8166426209257788,0.4021818323299932,0.1400097577775225,0.18367887758534326,0.4972875051101227,0.4021818323299932,0.0,signal_off,model
2008-10-09,0.8356815903339615,0.4619604135071752,0.1400097577775225,0.17949420178091496,0.4329375291740092,0.4619604135071752,0.0,signal_off,model
2008-10-10,0.831457026484742,0.4297708363512558,0.1400097577775225,0.18040619685923437,0.4653642897177372,0.4297708363512558,0.0,signal_off,model
2008-10-13,0.9125016927556608,0.3910287882028813,0.1400097577775225,0.16438325670061552,0.5114712932497237,0.3910287882028813,0.0,signal_off,model
2008-10-14,0.9061609651524669,0.3570653327659902,0.1400097577775225,0.16553350427620947,0.5601215846150877,0.3570653327659902,0.0,signal_off,model
2008-10-15,0.9664499472801992,0.5150151668794931,0.1402818584731837,0.1552072100807007,0.38833807790906755,0.5150151668794931,0.0,signal_off,model
2008-10-16,0.9646335666970012,0.45860729501154235,0.1402818584731837,0.1554994613276983,0.4361029625465647,0.45860729501154235,0.0,signal_off,model
2008-10-17,0.927768713997705,0.47366407568135427,0.1402818584731837,0.16167822619676206,0.4222401703407734,0.47366407568135427,0.0,signal_off,model
2008-10-20,0.9629592307260889,0.4228002435134185,0.1402818584731837,0.1557698344995325,0.4730366244305452,0.4228002435134185,0.0,signal_off,model
2008-10-21,0.9816787386674273,0.37532630418136337,0.1402818584731837,0.1527994791897158,0.5328696597384152,0.37532630418136337,0.0,signal_off,model
2008-10-22,0.9942221990588127,0.44943737250464844,0.1402818584731837,0.15087170668890568,0.4450008215503517,0.44943737250464844,0.0,signal_off,model
2008-10-23,0.9794961535514415,0.4113564167048522,0.1402818584731837,0.15313995818782175,0.48619637831856116,0.4113564167048522,0.0,signal_off,model
2008-10-24,0.9803178926800068,0.4949005905618115,0.1402818584731837,0.15301159054633584,0.4041215626212122,0.4949005905618115,0.0,signal_off,model
2008-10-27,0.979143244640761,0.47222265311254746,0.1402818584731837,0.15319515384598673,0.4235290253056388,0.47222265311254746,0.0,signal_off,model
2008-10-28,1.019126683807929,0.42986880391806453,0.1402818584731837,0.14718484206451213,0.46525823269120303,0.42986880391806453,0.0,signal_off,model
2008-10-29,0.9594947711894753,0.4065683318408622,0.1402818584731837,0.1563322745511647,0.4919222289016928,0.4065683318408622,0.0,signal_off,model
2008-10-30,0.9773328295123099,0.36069502243213664,0.1402818584731837,0.1534789331438402,0.5544850567978914,0.36069502243213664,0.0,signal_off,model
2008-10-31,0.9824737257605605,0.3214133096377943,0.1402818584731837,0.152675838617344,0.6222517674373321,0.3214133096377943,0.0,signal_off,model
2008-11-03,1.0097453718084122,0.2899721206266944,0.1402818584731837,0.14855230257837795,0.6897214793193063,0.2899721206266944,0.0,signal_off,model
2008-11-04,1.0919006876954933,0.27988829906847107,0.1402818584731837,0.13737513098978069,0.714570779363208,0.27988829906847107,0.0,signal_off,model
2008-11-05,1.0719152230789066,0.31240924037106316,0.1402818584731837,0.1399364397206234,0.6401859297197823,0.31240924037106316,0.0,signal_off,model
