date,symbol,assets_lower,assets_central,assets_upper,is_anchor
2015-09-09,SVXY,389938902.9586645,534879249.11041695,599872340.8371948,False
2015-09-10,SVXY,399877846.7851843,549102319.8341976,615162165.610836,False
2015-09-11,SVXY,408988587.41967,562216220.8159322,629177903.1268971,False
2015-09-14,SVXY,408077510.19670826,562769552.0590177,627776324.5147743,False
2015-09-15,SVXY,449489881.4576472,620543321.8435297,691484089.7555044,False
2015-09-16,SVXY,476490733.61792135,658522176.3611014,733021531.3061867,False
2015-09-17,SVXY,476242269.5007979,658881250.3215525,732639300.2683959,False
2015-09-18,SVXY,419424491.0755686,580892496.8262333,645232238.5812874,False
2015-09-21,SVXY,449655534.7341068,624751467.5164489,691738926.6490874,False
2015-09-22,SVXY,419507333.51136434,583482325.7637317,645359681.3306627,False
2015-09-23,SVXY,427706965.3277564,595517857.9202114,657973791.6294334,False
2015-09-24,SVXY,417271061.67185783,581602900.9385715,641919456.1750431,False
2015-09-25,SVXY,406586662.3037039,567310431.9240587,625482841.0776945,False
2015-09-28,SVXY,377349538.3039232,528185640.6992225,580505174.3713927,False
2015-09-29,SVXY,376769767.6338806,527929856.7303602,579613269.546436,False
2015-09-30,SVXY,394577068.31900525,553463450.6071461,607007579.4368494,False
2015-10-01,SVXY,399463729.3916013,560907057.9145434,614525097.6794622,False
2015-10-02,SVXY,420335568.29853034,590834248.972755,646633817.1934103,False
2015-10-05,SVXY,444354756.2679277,626562494.3764048,683584340.4751008,False
2015-10-06,SVXY,438971135.3659529,619618801.5463207,675302311.5517387,False
2015-10-07,SVXY,448910110.78760463,634310058.0753417,690592184.9305475,False
2015-10-08,SVXY,471107144.3110784,666369353.2870039,724739550.9879923,False
2015-10-09,SVXY,471107144.3110784,667064236.592968,724739550.9879923,False
2015-10-12,SVXY,500344268.31085914,710676571.2540891,769717217.6942941,False
2015-10-13,SVXY,472183843.2153679,671374674.3291336,726395917.8885306,False
2015-10-14,SVXY,461168168.8894267,656392259.3074273,709449677.6091835,False
2015-10-15,SVXY,494463719.17463744,704511988.1224879,760670726.6953506,False
2015-10-16,SVXY,498273649.7478122,710675331.7445374,766531829.4322575,False
2015-10-19,SVXY,534219589.2661125,764308055.1375568,821830171.605418,False
2015-10-20,SVXY,513264939.5185196,735085300.3394006,789594057.9472622,False
2015-10-21,SVXY,478395698.90450877,685852073.7768885,735952082.67464,False
2015-10-22,SVXY,518068758.1553199,743493513.522794,796984133.4404998,False
2015-10-23,SVXY,511194320.95547265,734381847.5965873,786408669.6852257,False
2015-10-26,SVXY,494877836.5682205,713131418.6490222,761307794.6267244,False
2015-10-27,SVXY,504568316.27761686,727839882.3748425,776215388.3625748,False
2015-10-28,SVXY,519476795.20766044,750111594.3453017,799150222.7333717,False
2015-10-29,SVXY,512353862.2955578,740581978.311869,788192479.3351393,False
2015-10-30,SVXY,503988545.6075743,729233713.2590901,775323483.537618,False
