,cm30,cm60,cm90,cm120,cm150,cm180,n_contracts
2013-08-01,14.117857142857144,15.47857142857143,16.35,16.976785714285715,17.585714285714285,18.228571428571428,9
2013-08-02,13.739285714285714,15.160714285714286,16.071428571428573,16.696428571428573,17.324285714285715,18.0,9
2013-08-05,13.75,15.049999999999999,15.911428571428571,16.555357142857144,17.192857142857143,17.882142857142856,9
2013-08-06,14.176785714285714,15.4875,16.307142857142857,16.924999999999997,17.565714285714286,18.235714285714288,9
2013-08-07,14.407142857142858,15.692857142857143,16.45,17.017857142857142,17.614285714285714,18.257142857142856,9
2013-08-08,14.221428571428572,15.5625,16.32,16.914285714285715,17.535714285714285,18.15535714285714,9
2013-08-09,14.610714285714286,15.842857142857143,16.571428571428573,17.15357142857143,17.75714285714286,18.375,9
2013-08-12,14.5875,15.8625,16.621428571428574,17.20714285714286,17.790000000000003,18.383928571428573,9
2013-08-13,14.514285714285714,15.97142857142857,16.78142857142857,17.375,17.992857142857144,18.603571428571428,9
2013-08-14,14.82857142857143,16.22142857142857,17.005714285714287,17.632142857142856,18.23,18.823214285714286,9
2013-08-15,15.535714285714285,16.771428571428572,17.450000000000003,18.051785714285714,18.685714285714283,19.257142857142856,9
2013-08-16,15.476785714285715,16.660714285714285,17.32142857142857,17.92142857142857,18.557142857142857,19.1625,9
2013-08-19,15.95,16.945714285714285,17.63142857142857,18.182142857142857,18.779999999999998,19.414285714285715,9
2013-08-20,15.6875,16.764285714285712,17.407142857142855,17.95,18.549999999999997,19.14107142857143,9
2013-08-21,16.16071428571429,17.029999999999998,17.63,18.018571428571427,18.575714285714284,19.160714285714285,8
2013-08-22,15.551785714285714,16.49285714285714,17.05,17.487142857142857,18.044285714285717,18.630357142857143,8
2013-08-23,15.35,16.37,16.964285714285715,17.405714285714286,17.962857142857143,18.55,8
2013-08-26,16.0625,16.854285714285712,17.357142857142858,17.82,18.41785714285714,18.95,9
2013-08-27,17.4,18.04285714285714,18.453571428571426,18.83,19.38214285714286,19.85185185185185,9
2013-08-28,17.542857142857144,18.09142857142857,18.46428571428571,18.84857142857143,19.398214285714285,19.883333333333333,9
